email_opens,website_visits,brochure_downloads,contact_attempts,home_age,home_size_sqft,current_heating_age,estimated_income,credit_score,heating_degree_days,electricity_rate,referral,previous_customer,homeowner,time_in_home,converted,conversion_probability,predicted_conversion,lead_priority
10,5,3,5,27,2459,23,63491,844,6285,0.2095857417644485,1,1,1,19,1,0.999977485920655,1,High
10,5,4,8,29,2744,23,63823,792,6932,0.1318347209429074,1,0,1,16,1,0.999977485920655,1,High
6,5,6,6,19,1707,24,63311,745,6861,0.2491528578218124,1,0,1,19,1,0.999977485920655,1,High
9,10,4,4,18,2771,24,67166,797,6803,0.1347979854629704,1,0,1,11,1,0.9999699165638402,1,High
6,7,4,6,46,2525,26,65611,761,4913,0.1746045118662266,1,0,1,6,1,0.9999699165638402,1,High
5,7,2,5,31,3146,20,106434,797,6282,0.2019341286509304,1,0,1,17,1,0.9999664521605837,1,High
7,8,9,4,45,2285,20,91016,772,6726,0.1274665752453427,1,0,1,9,1,0.9999664521605837,1,High
10,5,3,4,23,3815,22,70352,815,5715,0.1274032333307982,1,0,1,13,1,0.9999664521605837,1,High
13,7,6,4,37,3068,24,125229,762,6861,0.2130817733212696,1,0,1,16,1,0.9999664521605837,1,High
9,5,3,4,18,2464,25,123389,824,5808,0.2040409076561014,1,0,1,16,1,0.9999664521605837,1,High
5,6,2,9,42,2312,26,138709,790,6544,0.2419510837371,1,1,1,15,1,0.9999664521605837,1,High
8,5,2,6,31,3709,27,146732,746,4400,0.1298748373054392,1,0,1,6,1,0.9999664521605837,1,High
8,8,4,5,35,2783,20,125783,776,5546,0.1721122133332294,1,0,1,6,1,0.9999664521605837,1,High
8,8,5,4,18,3512,20,82658,825,5218,0.1985467123822295,1,0,1,18,1,0.9999664521605837,1,High
9,6,3,6,24,2708,25,142018,771,6580,0.2484906842231821,1,0,1,17,1,0.9999664521605837,1,High
14,5,5,5,46,2382,25,111084,817,5078,0.2101691172828986,1,0,1,13,1,0.9999664521605837,1,High
10,8,5,5,46,2033,20,110809,778,6893,0.1379673916969752,1,0,1,8,1,0.9999664521605837,1,High
7,8,3,4,21,3167,29,125140,813,4823,0.2079866056719061,1,0,1,18,1,0.9999664521605837,1,High
10,10,5,4,47,2054,27,96104,828,6293,0.202031845155589,1,0,1,14,1,0.9999664521605837,1,High
11,5,6,5,31,3974,24,81114,816,5120,0.1283267023913527,1,0,1,11,1,0.9999664521605837,1,High
9,8,3,9,18,1790,19,145799,770,5928,0.1762613833936573,1,0,1,8,1,0.9999664521605837,1,High
10,12,2,4,15,2936,21,98619,770,6038,0.1533660196864688,1,1,1,11,1,0.9999664521605837,1,High
9,13,4,4,45,2685,23,110607,805,4346,0.2102292252995334,1,1,1,15,1,0.9999664521605837,1,High
8,6,8,5,32,3506,23,129157,836,6456,0.1647298141381462,1,0,1,10,1,0.9999664521605837,1,High
6,5,4,4,26,2915,20,131168,782,4862,0.2075079336301892,1,0,1,10,1,0.9999664521605837,1,High
7,10,2,5,16,2234,26,96077,764,5073,0.1948125341401766,1,0,1,9,1,0.9999664521605837,1,High
11,5,4,5,45,3893,18,115052,831,6084,0.127491039618941,1,0,1,7,1,0.9999664521605837,1,High
9,5,5,5,23,2984,17,140989,828,5484,0.1904778762098016,1,0,1,8,1,0.9999664521605837,1,High
8,7,4,4,29,1802,25,89945,816,5326,0.1254658234898728,1,1,1,16,1,0.9999664521605837,1,High
9,9,4,5,48,3319,19,103420,749,6132,0.1727112914753072,1,0,1,16,1,0.9999664521605837,1,High
7,7,4,7,44,1868,26,77829,791,5744,0.191191984679423,1,0,1,11,1,0.9999664521605837,1,High
10,5,9,7,44,3546,27,66644,684,5645,0.121869587989371,1,0,1,6,1,0.999962811768103,1,High
10,9,3,6,46,2874,20,127560,785,3442,0.2042353596377031,1,0,1,8,1,0.9999608593194204,1,High
9,5,3,10,49,2547,19,138890,819,3339,0.1732377491438246,1,0,1,7,1,0.9999608593194204,1,High
8,5,5,9,18,1632,25,70547,787,4197,0.1962750985606677,1,0,1,18,1,0.9999608593194204,1,High
8,7,5,4,16,3030,21,129093,836,3923,0.138842338793202,1,0,1,18,1,0.9999608593194204,1,High
7,8,2,6,35,2466,28,106163,754,3688,0.1924496979557062,1,0,1,10,1,0.9999608593194204,1,High
7,9,3,4,36,2549,23,72651,760,4083,0.1242225718646663,1,0,1,18,1,0.9999608593194204,1,High
5,6,6,6,39,2476,17,96836,817,3871,0.1794399527452074,1,0,1,16,1,0.9999608593194204,1,High
9,5,6,4,36,3513,29,142410,774,3891,0.2008575027122036,1,1,1,10,1,0.9999608593194204,1,High
5,10,3,4,34,2635,19,83331,755,3459,0.1858691528110203,1,0,1,14,1,0.9999608593194204,1,High
9,7,2,4,44,2418,21,133251,774,4246,0.1704356233398971,1,0,1,8,1,0.9999608593194204,1,High
8,11,7,6,28,1589,25,105254,810,3537,0.1234927950258415,1,0,1,6,1,0.9999608593194204,1,High
9,7,5,5,48,3236,21,129166,776,3146,0.1636375982950777,1,0,1,13,1,0.9999608593194204,1,High
10,9,4,4,36,2669,23,90806,828,3108,0.2344712845040644,1,0,1,16,1,0.9999608593194204,1,High
5,5,7,6,17,1622,26,112479,849,3496,0.2150162270312703,1,0,1,9,1,0.9999608593194204,1,High
12,6,5,4,35,2321,19,119796,687,5989,0.1662140913573764,1,0,1,9,1,0.9999593473648466,1,High
