email_opens,website_visits,brochure_downloads,contact_attempts,home_age,home_size_sqft,current_heating_age,estimated_income,credit_score,heating_degree_days,electricity_rate,referral,previous_customer,homeowner,time_in_home,converted
1,0,0,1,2,2802,4,30173,697,5769,0.0958553984841518,0,0,1,6,0
0,2,0,0,10,2899,10,50276,612,2258,0.19578706874299556,0,0,1,13,0
2,0,0,0,24,891,8,33019,589,5437,0.10612192314237964,0,0,1,1,0
5,2,0,1,16,1107,3,42161,634,2938,0.09012637271299326,0,0,1,3,0
1,2,0,0,28,3477,2,64552,724,1893,0.11442368840780773,0,0,0,6,0
4,1,1,0,9,2532,4,99112,668,5067,0.08449995389518654,0,0,1,7,0
8,8,6,1,44,3716,25,75993,792,5635,0.21434504161719925,1,0,1,9,1
1,2,0,1,22,2421,19,84720,731,3860,0.21492094290546088,0,0,0,2,0
2,0,0,1,3,1567,5,94448,625,5175,0.11993283143226328,0,0,1,0,0
4,4,3,3,49,1559,24,72363,710,6841,0.18709619594632326,1,0,1,10,1
2,2,0,0,7,2940,14,92468,676,2115,0.12047303254349737,1,0,1,6,0
1,1,0,1,0,2403,2,68441,738,4977,0.09622720076385452,1,0,1,4,0
4,1,0,3,15,3139,5,94116,741,1737,0.09720133091581512,0,0,1,14,0
3,1,1,1,32,2346,21,89341,619,3548,0.19818385335711763,0,0,1,6,0
1,4,0,3,6,3491,11,87158,673,1837,0.15816617087316467,0,0,1,3,0
3,0,1,1,12,1271,24,37966,519,3954,0.16819106928543082,1,0,1,3,0
10,6,1,6,24,2394,23,104630,682,6720,0.12317386092688887,0,0,1,18,1
4,1,0,1,4,2242,6,96512,639,1263,0.1709884463323443,0,0,1,3,0
0,2,2,0,29,3159,21,48607,552,5064,0.1962246540666996,1,0,1,8,0
1,2,1,1,2,1316,16,33276,658,5303,0.14964248902132754,0,0,1,9,0
2,2,0,1,22,2130,17,76788,520,5143,0.08789640530061671,0,0,1,1,0
2,0,2,0,21,3028,13,64964,581,3661,0.09541500777928652,0,0,1,13,0
0,1,0,3,2,3131,7,81814,530,5190,0.15396158941260857,0,0,1,13,0
6,1,1,1,36,1180,15,86532,556,5999,0.18739366718589334,0,0,1,13,0
1,2,0,1,34,1587,11,38716,696,2519,0.18118050407420971,0,0,1,4,0
1,1,0,1,36,3156,7,82786,748,1670,0.1749875389537388,0,0,0,5,0
2,2,0,1,5,3045,12,99061,586,5319,0.1254686387495071,0,0,1,2,0
2,2,0,2,10,2363,20,83676,682,2580,0.15740872898614883,0,0,1,13,0
1,1,2,1,36,3392,0,83820,565,2454,0.19863583175844002,0,0,1,5,0
